"Step","exp1_gpt2_demo_lr-u-1e-4_lr-w-1e-4_lr_lambda-1e-4_seed-0_alpha-1000_epoch-1_freq_lambda-5_freq_w-5 - samp prob.data_alpaca/train_noisy.json","exp1_gpt2_demo_lr-u-1e-4_lr-w-1e-4_lr_lambda-1e-4_seed-0_alpha-1000_epoch-1_freq_lambda-5_freq_w-5 - samp prob.data_alpaca/train_noisy.json__MIN","exp1_gpt2_demo_lr-u-1e-4_lr-w-1e-4_lr_lambda-1e-4_seed-0_alpha-1000_epoch-1_freq_lambda-5_freq_w-5 - samp prob.data_alpaca/train_noisy.json__MAX","exp1_gpt2_demo_lr-u-1e-4_lr-w-1e-4_lr_lambda-1e-4_seed-0_alpha-1000_epoch-1_freq_lambda-5_freq_w-1 - samp prob.data_alpaca/train_noisy.json","exp1_gpt2_demo_lr-u-1e-4_lr-w-1e-4_lr_lambda-1e-4_seed-0_alpha-1000_epoch-1_freq_lambda-5_freq_w-1 - samp prob.data_alpaca/train_noisy.json__MIN","exp1_gpt2_demo_lr-u-1e-4_lr-w-1e-4_lr_lambda-1e-4_seed-0_alpha-1000_epoch-1_freq_lambda-5_freq_w-1 - samp prob.data_alpaca/train_noisy.json__MAX","exp1_gpt2_demo_lr-u-1e-5_lr-w-1e-5_lr_lambda-1e-1_seed-0_alpha-1000_epoch-1_freq_lambda-5_freq_w-1 - samp prob.data_alpaca/train_noisy.json","exp1_gpt2_demo_lr-u-1e-5_lr-w-1e-5_lr_lambda-1e-1_seed-0_alpha-1000_epoch-1_freq_lambda-5_freq_w-1 - samp prob.data_alpaca/train_noisy.json__MIN","exp1_gpt2_demo_lr-u-1e-5_lr-w-1e-5_lr_lambda-1e-1_seed-0_alpha-1000_epoch-1_freq_lambda-5_freq_w-1 - samp prob.data_alpaca/train_noisy.json__MAX"
"1","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5"
"2","0.49995002150535583","0.49995002150535583","0.49995002150535583","0.49995002150535583","0.49995002150535583","0.49995002150535583","0.4501659870147705","0.4501659870147705","0.4501659870147705"
"3","0.49995002150535583","0.49995002150535583","0.49995002150535583","0.49995002150535583","0.49995002150535583","0.49995002150535583","0.4501659870147705","0.4501659870147705","0.4501659870147705"
"4","0.49995002150535583","0.49995002150535583","0.49995002150535583","0.49995002150535583","0.49995002150535583","0.49995002150535583","0.4501659870147705","0.4501659870147705","0.4501659870147705"
"5","0.49995002150535583","0.49995002150535583","0.49995002150535583","0.49995002150535583","0.49995002150535583","0.49995002150535583","0.4501659870147705","0.4501659870147705","0.4501659870147705"
"6","0.49995002150535583","0.49995002150535583","0.49995002150535583","0.49995002150535583","0.49995002150535583","0.49995002150535583","0.4501659870147705","0.4501659870147705","0.4501659870147705"
"7","0.4999101758003235","0.4999101758003235","0.4999101758003235","0.4999101758003235","0.4999101758003235","0.4999101758003235","0.46339261531829834","0.46339261531829834","0.46339261531829834"
"8","0.4999101758003235","0.4999101758003235","0.4999101758003235","0.4999101758003235","0.4999101758003235","0.4999101758003235","0.46339261531829834","0.46339261531829834","0.46339261531829834"
"9","0.4999101758003235","0.4999101758003235","0.4999101758003235","0.4999101758003235","0.4999101758003235","0.4999101758003235","0.46339261531829834","0.46339261531829834","0.46339261531829834"
"10","0.4999101758003235","0.4999101758003235","0.4999101758003235","0.4999101758003235","0.4999101758003235","0.4999101758003235","0.46339261531829834","0.46339261531829834","0.46339261531829834"
"11","0.4999101758003235","0.4999101758003235","0.4999101758003235","0.4999101758003235","0.4999101758003235","0.4999101758003235","0.46339261531829834","0.46339261531829834","0.46339261531829834"
"12","0.4998682141304016","0.4998682141304016","0.4998682141304016","0.4998682141304016","0.4998682141304016","0.4998682141304016","0.4402887225151062","0.4402887225151062","0.4402887225151062"
"13","0.4998682141304016","0.4998682141304016","0.4998682141304016","0.4998682141304016","0.4998682141304016","0.4998682141304016","0.4402887225151062","0.4402887225151062","0.4402887225151062"
"14","0.4998682141304016","0.4998682141304016","0.4998682141304016","0.4998682141304016","0.4998682141304016","0.4998682141304016","0.4402887225151062","0.4402887225151062","0.4402887225151062"
"15","0.4998682141304016","0.4998682141304016","0.4998682141304016","0.4998682141304016","0.4998682141304016","0.4998682141304016","0.4402887225151062","0.4402887225151062","0.4402887225151062"
"16","0.4998682141304016","0.4998682141304016","0.4998682141304016","0.4998682141304016","0.4998682141304016","0.4998682141304016","0.4402887225151062","0.4402887225151062","0.4402887225151062"
"17","0.49982407689094543","0.49982407689094543","0.49982407689094543","0.49982407689094543","0.49982407689094543","0.49982407689094543","0.4069961607456207","0.4069961607456207","0.4069961607456207"
"18","0.49982407689094543","0.49982407689094543","0.49982407689094543","0.49982407689094543","0.49982407689094543","0.49982407689094543","0.4069961607456207","0.4069961607456207","0.4069961607456207"
"19","0.49982407689094543","0.49982407689094543","0.49982407689094543","0.49982407689094543","0.49982407689094543","0.49982407689094543","0.4069961607456207","0.4069961607456207","0.4069961607456207"
"20","0.49982407689094543","0.49982407689094543","0.49982407689094543","0.49982407689094543","0.49982407689094543","0.49982407689094543","0.4069961607456207","0.4069961607456207","0.4069961607456207"
"21","0.49982407689094543","0.49982407689094543","0.49982407689094543","0.49982407689094543","0.49982407689094543","0.49982407689094543","0.4069961607456207","0.4069961607456207","0.4069961607456207"
"22","0.4997797906398773","0.4997797906398773","0.4997797906398773","0.4997797906398773","0.4997797906398773","0.4997797906398773","0.37837541103363037","0.37837541103363037","0.37837541103363037"
"23","0.4997797906398773","0.4997797906398773","0.4997797906398773","0.4997797906398773","0.4997797906398773","0.4997797906398773","0.37837541103363037","0.37837541103363037","0.37837541103363037"
"24","0.4997797906398773","0.4997797906398773","0.4997797906398773","0.4997797906398773","0.4997797906398773","0.4997797906398773","0.37837541103363037","0.37837541103363037","0.37837541103363037"
"25","0.4997797906398773","0.4997797906398773","0.4997797906398773","0.4997797906398773","0.4997797906398773","0.4997797906398773","0.37837541103363037","0.37837541103363037","0.37837541103363037"
"26","0.4997797906398773","0.4997797906398773","0.4997797906398773","0.4997797906398773","0.4997797906398773","0.4997797906398773","0.37837541103363037","0.37837541103363037","0.37837541103363037"
"27","0.49973368644714355","0.49973368644714355","0.49973368644714355","0.49973368644714355","0.49973368644714355","0.49973368644714355","0.34648597240448","0.34648597240448","0.34648597240448"
